Relative Pressure (P/Po),Quantity Adsorbed (cm³/g STP)
4.19974E-05,20.28274449
9.96909E-05,40.67296372
0.000148121,60.87679503
0.000188506,81.25108951
0.000224278,101.619451
0.000259844,122.0302949
0.000299953,142.3989108
0.000349057,162.7862552
0.000417927,183.0768101
0.000521085,203.3467253
0.000684773,223.5674918
0.000949862,243.5863528
0.001422718,263.1878155
0.00193056,275.0843134
0.002936687,288.4217818
0.003871099,295.8545087
0.004945074,301.7994394
0.005730774,305.3298612
0.006698907,312.6281648
0.008054492,323.3365919
0.008892109,328.0720786
0.009781263,332.3208478
0.02074716,356.4611424
0.029110932,364.3844726
0.038163686,400.8022049
0.04836001,414.1358694
0.063774299,420.0631319
0.069776865,421.7029946
0.08004303,424.0256576
0.090083618,425.9749438
0.10043044,427.7245243
0.145027143,433.4843278
0.202710154,438.9966576
0.254860289,443.1539479
0.305344376,446.72724
0.354387044,449.9327603
0.399269895,452.6201371
0.449413315,455.3270013
0.499421734,457.8319896
0.549130569,460.2240887
0.599553456,462.617951
0.648965909,465.067526
0.699055532,467.8544535
0.748964062,471.0471959
0.7992439,474.8147805
0.809235821,475.7689968
0.819317209,476.7695132
0.829266798,477.7855803
0.839403863,478.8588776
0.850174553,480.0949458
0.859575733,481.2178317
0.869079932,482.5717543
0.879065428,484.1244541
0.889536882,485.8798938
0.899627608,487.7359597
0.90986306,489.8854979
0.919854649,492.4174808
0.929147394,495.2036614
0.939055955,498.7431648
0.948884511,503.2296235
0.959088154,509.3877026
0.969051619,517.7201809
0.978076108,529.0286753
0.986984423,548.9853612
0.994455819,585.4406004
