Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
6.51E-05,0.17817321
9.45E-05,0.349631375
0.000140029,0.59994436
0.000168502,1.155145865
0.000212523,3.039106608
0.000256869,22.95957802
0.000285953,42.88725781
0.000318927,62.80599158
0.00032856,63.58629756
0.000397185,67.50137289
0.000427058,87.43908993
0.000458442,107.3250352
0.000511064,127.1861418
0.000580619,145.2756391
0.000637337,156.142065
0.000890495,175.8379637
0.001019138,182.5277364
0.001355172,190.5388013
0.001632038,195.2730373
0.002111946,200.3510141
0.002599008,203.990202
0.003298337,208.0650155
0.004368838,212.1661725
0.005230467,214.6878989
0.006777789,218.0580083
0.008474152,220.9052842
0.010761704,223.9901988
0.014077117,227.1368389
0.017025411,229.3487793
0.022138234,232.3009849
0.027920961,234.8889913
0.035532871,237.4528331
0.044729196,239.8483793
0.056862545,242.3131476
0.074640451,244.9876403
0.094446941,247.2833845
0.119931747,249.5926078
0.149860444,251.759821
0.188606945,254.05
0.237609088,256.4403221
0.30241524,259.2404553
0.375744873,262.2958431
0.474393139,266.7574807
0.538919084,270.3468677
0.602620402,274.6711857
0.64403838,278.1431281
0.684098233,282.0798043
0.723912436,286.6403969
0.763564176,292.0588002
0.790607423,296.3022283
0.815628686,300.7223269
0.840576799,305.7748296
0.865722821,311.7378262
0.91707011,330.6836475
0.940410038,346.4244636
0.961980007,368.4154227
0.97070987,381.5347285
