Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.0000475,0.291525027
0.0000969,0.57683055
0.000123181,0.620048828
0.000128577,0.658135595
0.000164533,0.95282625
0.000217301,5.996396582
0.000257214,15.96630557
0.000279122,25.93740552
0.000300744,35.90617865
0.000322968,45.87471218
0.000351409,56.18553815
0.000368692,66.15244743
0.000383691,76.11937752
0.000393716,86.08662015
0.000410668,96.05266401
0.000431396,106.0217067
0.000433515,115.9905568
0.000434096,125.9564861
0.00044681,135.9195637
0.000448218,155.8530741
0.000460131,212.5
0.000469896,242.8
0.000479868,263.6
0.000495921,293.5893529
0.000505841,312.6029111
0.000522755,322.5586345
0.000561279,332.5075569
0.000612371,351.4762077
0.000762905,361.3968901
0.001046492,371.2898879
0.001338775,376.7
0.001690835,381.1722028
0.002200656,385.8
0.002830961,390.9188471
0.003348623,396.2006375
0.003953084,406.0520849
0.004340588,415.523028
0.005364889,425.1448932
0.006599917,430.6897216
0.008409006,435.1444608
0.010647117,438.35
0.01347842,440.7835726
0.017400821,442.8405229
0.022037446,444.346239
0.028872495,445.7078586
0.037948501,446.8042356
0.043221172,447.2464063
0.056330468,448.001404
0.075704826,448.6718223
0.096747454,449.1243456
0.12106687,449.47
0.148103775,449.7321326
0.182104311,449.9648932
0.230197892,450.2006076
0.294028489,450.4356866
0.376152789,450.6699096
0.475149693,450.9570748
0.539634859,451.200884
0.602891293,451.544312
0.644112905,451.8738368
0.683964225,452.333743
0.723676637,453.0147327
0.762441498,454.1258688
0.789400207,455.3847044
0.815016979,457.0811051
0.840145607,459.2774529
0.86521186,462.0303932
0.93003418,467.3296084
0.958849806,467.7860947
0.98337829,468.3480288
