Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
4.60E-07,29.24223573
8.08E-07,58.6913572
1.24E-06,88.1822873
1.95E-06,117.7708096
3.47E-06,147.0208837
1.98E-05,176.6272698
3.01E-05,188.1
3.99E-05,197.3
4.84E-05,205.7335818
6.00E-05,219.4
7.19E-05,234.899105
8.00E-05,247.5
9.10E-05,263.9058595
0.000122165,292.8992342
0.000169951,309.4
0.000240034,320.8391657
0.000469896,333.9
0.001029937,346.7523766
0.002010342,351.561349
0.003045762,354.0055815
0.003948507,355.4263289
0.004830186,356.484218
0.005912671,357.5251441
0.006904737,358.3168714
0.007945685,359.0361979
0.00893684,359.633011
0.009950202,360.2001188
0.019566394,363.8561184
0.02937333,366.7213338
0.039573751,369.6
0.053048755,373.5872441
0.059782481,375.5479842
0.070285857,377.6609013
0.080382115,379.2731153
0.090693352,380.7148902
0.100863524,381.9894138
0.145578459,386.4698639
0.201715088,390.404903
0.255897983,393.2731922
0.306354706,395.4325597
0.355727318,396.994765
0.400710563,398.472277
0.450996492,399.9312104
0.500912037,401.2288073
0.550729386,402.3886749
0.600539736,403.4473961
0.650423732,404.4381916
0.699409212,405.3195484
0.749430462,406.161677
0.799589806,406.9765303
0.810603847,407.2760134
0.820750466,407.4391274
0.830251162,407.5884184
0.840610582,407.7410674
0.850090332,407.8706136
0.860139894,408.0103314
0.870536548,408.1640723
0.880439116,408.3117647
0.890351942,408.4410411
0.900085449,408.5758706
0.909885718,408.7267665
0.920408124,408.8781608
0.930173819,409.027047
0.940068359,409.1678296
0.949686839,409.3365257
0.959833706,409.4983328
0.969298233,409.6727584
0.979271939,409.8817061
0.989260685,410.1012315
0.998416184,410.5466624
