Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
9.79E-03,141.8502983
1.30E-02,147.3
0.016992215,153.9
0.021993683,161.7
0.02998674,172.9
0.039658038,183.7882938
0.056022606,197.1
0.071295439,206.8902405
0.104927504,225.1116935
0.129699104,236.6158331
0.159960572,249.4753063
0.191745691,262.3267321
0.222604245,274.802244
0.252936316,287.7227679
0.284027412,303.5133822
0.305135298,320.3
0.316012885,333.9432213
0.333871196,392.7
0.343960535,420.7730051
0.372991369,458.9
0.42755174,493.6786212
0.447576408,495.090764
0.476895088,496.9751534
0.499735922,498.29126
0.529857594,499.8883749
0.560582034,501.3842062
0.591212993,502.7760393
0.621878896,504.132203
0.652784998,505.4119977
0.683268469,506.6427636
0.713947513,507.8582389
0.744563968,509.0861455
0.775127231,510.350724
0.806787691,511.6682351
0.836549791,512.9731992
0.867018855,514.4407391
0.897225551,516.3071265
0.937868963,520.8782567
