Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.001034,197.1289999
0.001108417,199.5241455
0.00118819,202.0821304
0.001273703,204.8119929
0.001365372,207.7227303
0.001463638,210.8231249
0.001568975,214.1215167
0.001681894,217.6255089
0.00180294,221.3415887
0.001932698,225.2746433
0.002071794,229.4273454
0.002220901,233.7993736
0.002380739,238.3864309
0.00255208,243.1790121
0.002735753,248.1608543
0.002932645,253.3070025
0.003143708,258.5813915
0.00336996,263.9338311
0.003612496,269.2962544
0.003872487,274.5780503
0.004151189,279.6602664
0.00444995,284.3884148
0.004770213,288.5635505
0.005113525,292.0917185
0.005481545,295.4880853
0.005876051,298.8025947
0.00629895,302.0144892
0.006752285,305.1071346
0.007238246,308.0709686
0.007759182,310.9074818
0.00831761,313.6345179
0.008916228,316.2932685
0.009557928,318.952217
0.010245811,321.6227374
0.010983202,324.287628
0.011773662,326.9384946
0.012621011,329.5701329
0.013529344,332.1824813
0.01450305,334.783238
0.015546834,337.3913298
0.016665738,340.0414743
0.01786517,342.7901286
0.019150925,345.7007472
0.020529216,348.6742774
0.022006702,351.6818036
0.023590522,354.7289731
0.02528833,357.8292806
0.02710833,361.0073584
0.029059314,364.303283
0.031150711,367.7567135
0.033392625,371.1060915
0.03579589,374.45872
0.038372117,378.2027532
0.041133755,382.8800127
0.044094149,388.543566
0.047267601,395.5080957
0.050669447,404.618763
0.054316123,416.0045976
0.05822525,424.1716129
0.062415717,430.9169639
0.066907771,436.1151516
0.071723119,440.0867187
0.076885026,445.2976561
0.082418435,451.4351027
0.088350084,458.5978572
0.094708633,466.4460405
0.101524806,472.6192715
0.108831538,479.6663773
0.116664136,491.1593287
0.125060445,506.1904901
0.134061035,523.4437608
0.143709398,530.6339937
0.154052152,533.1608508
0.165139274,536.3349618
0.177024334,540.5861805
0.189764762,541.0808972
0.203422118,543.6179283
0.218062392,543.7850362
0.233756326,545.8906345
0.25057975,548.8538363
0.268613956,549.48699
0.287946082,551.5766383
0.308669539,552.5692394
0.330884462,553.5069729
0.354698192,555.5232089
0.380225793,556.6596188
0.407590615,558.3361394
0.43692488,559.6240671
0.46837033,560.1315564
0.502078907,562.1355582
0.538213488,563.9579248
0.576948671,564.5252933
0.618471623,565.8052343
0.662982978,566.6433628
0.710697812,568.4923111
0.76184668,570.9781344
0.816676727,571.4921361
0.875452888,572.482785
0.938459166,574.9414501
