Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
4.88E-05,1.035999212
0.000103039,1.908035393
0.000152256,2.155714654
0.000192992,2.701018481
0.000227689,3.151022853
0.000262075,3.805326161
0.000339317,17.8541585
0.000410328,37.67918299
0.000436056,44.47981173
0.000530897,64.29315122
0.00068157,83.51374464
0.000825555,91.83641416
0.001018034,98.67791888
0.001387476,112.6054566
0.001754256,124.3881237
0.002082039,134.3365982
0.002634584,154.1134249
0.003096,173.9258918
0.003421564,190.6924562
0.00373714,210.4792227
0.003990249,230.2631753
0.004203087,250.0246113
0.004384442,269.7867715
0.004550507,289.5232301
0.004701429,309.269059
0.004831217,329.0177787
0.004959268,348.7242874
0.005083147,368.4494647
0.005198735,388.1651011
0.005324749,407.8353851
0.005452929,427.5402802
0.005573198,447.2241306
0.005699939,466.9447989
0.005873153,486.6044365
0.006055369,506.4382458
0.006277627,526.0839057
0.006538265,545.7713291
0.006870036,565.4039292
0.007278209,585.0635997
0.007840088,604.6021745
0.008534543,623.8435096
0.009537856,643.1983601
0.01071683,659.8969769
0.012716909,679.3168505
0.013356843,683.8118561
0.016783566,703.1560794
0.017190992,704.6365863
0.021664124,719.7607782
0.029557787,736.5798583
0.037496831,747.2871359
0.043815956,753.5464095
0.056354812,763.0255306
0.075000773,772.764789
0.094622889,780.0294297
0.12134011,787.3459355
0.148705066,793.2239549
0.186663973,799.9997939
0.233461347,807.52346
0.292643557,816.2340696
0.376872515,825.7953808
0.477271717,831.2825856
0.557467879,832.9012232
0.622324826,833.3172592
0.663688643,833.2265224
0.703952672,832.993448
0.744084723,832.6912456
0.784234934,832.31166
0.810369834,831.9487744
0.835704039,831.6707888
0.86122081,831.3101984
0.886535362,830.9686392
0.936028809,830.3224928
0.962543788,830.0199416
0.987971674,829.8951608
