Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.0000341,2.679731275
0.0000585,3.337321679
0.0000829,9.384074149
0.000106975,29.27503048
0.000125602,49.16683188
0.000144069,69.05532465
0.000163778,88.93400688
0.000187348,108.8053837
0.000208741,117.6434662
0.00026291,123.3817269
0.00032538,143.2548701
0.000393299,163.0549543
0.00040154,166.1491326
0.000460131,177.7
0.000541423,185.8657739
0.000650309,188.4257665
0.000858217,194.4493198
0.001130007,201.0504363
0.001352074,204.5451253
0.001629688,207.8585873
0.002048444,211.8505979
0.002672633,216.3557661
0.00340465,219.8561064
0.004236093,222.3693104
0.005229068,224.4735318
0.006804549,227.0193331
0.008670638,229.0923041
0.010602531,230.66
0.013560594,232.4924596
0.017513597,234.2534634
0.02198175,235.6939878
0.027797594,237.1443946
0.035558333,238.6413654
0.045087695,240.0641898
0.057084319,241.4817518
0.073852847,242.98
0.093504522,244.4183565
0.117917986,245.8493671
0.148441409,247.3471616
0.187453493,248.9415548
0.236737861,250.6734233
0.30102165,252.5762015
0.376151248,254.5711403
0.475697694,256.9706346
0.539978839,258.3099839
0.603025345,259.5759029
0.644358128,260.2908649
0.684218752,260.9270644
0.72439712,261.5376325
0.764352288,262.2155243
0.790607354,262.6794448
0.81598638,263.1544686
0.841261992,263.7248281
0.866822335,264.3598643
0.914684081,266
0.942892019,267.3403463
0.967733315,269.1591428
