Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.009596,19.41
0.009612,38.89
0.009916,88.27
0.010389,141.52
0.011031505,234
0.011550807,318.5
0.012094554,390.4
0.012523,419.91
0.014087,450.63
0.015418,477.63
0.017685,512.55
0.018549,556.89
0.019567,592.81
0.020351,627.73
0.020587,649.53
0.022229,673.56
0.024027,691.89
0.025434,706.26
0.027544,734.5
0.029967,756.8
0.032625,778.85
0.035154,802.93
0.037262,822.2
0.043028,842.26
0.048236,867.44
0.054746,888.88
0.059644,908.95
0.062374,936.48
0.067892,962.64
0.074278,993.91
0.080293,1024.59
0.084014,1047.01
0.090585,1063.54
0.09759,1088.92
0.105525,1106.24
0.115814,1131.24
0.134969,1165.69
0.15282,1192.87
0.161188,1200.36
0.207176,1222.5
0.226389,1227.66
0.247586,1231.85
0.256944,1234.82
0.269588,1237.61
0.291032,1243.17
0.30975,1244.6
0.33423,1248.6
0.359331,1252.79
0.383316,1255.42
0.40854,1258.83
0.434137,1261.25
0.460167,1263.68
0.484834,1264.14
0.510306,1267.36
0.535346,1271.55
0.58598,1274.44
0.611212,1278.79
0.661582,1281.73
0.686571,1282.43
0.711659,1284.99
0.762915,1285.44
0.788102,1287.38
0.813091,1288.08
0.838867,1289.71
0.889237,1290.47
0.894846,1291.73
0.911964,1293.02
0.944823,1295.3
