Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.002879,120.229
0.005757,173.643
0.010075,221.693
0.018711,261.669
0.023028,280.32
0.035982,306.875
0.047496,322.759
0.066207,346.566
0.087796,370.334
0.094992,380.93
0.109385,394.103
0.126656,415.256
0.149684,436.333
0.168395,454.795
0.188546,473.237
0.208695,494.352
0.228845,515.467
0.246116,531.275
0.269145,555.025
0.289294,578.813
0.303687,610.694
0.310883,618.617
0.318079,629.213
0.322398,637.174
0.329594,645.096
0.331034,650.423
0.33679,661.037
0.339669,666.344
0.345426,679.632
0.348305,692.957
0.355501,826.492
0.356941,834.491
0.358379,928.013
0.388605,1341.87
0.394362,1352.48
0.401558,1363.08
0.402997,1395.13
0.418829,1400.27
0.451933,1405.18
0.490793,1410.01
0.51814,1414.99
0.567074,1419.69
0.611692,1421.78
0.633281,1426.84
0.726835,1428.28
0.752741,1433.28
0.77577,1438.32
0.823266,1440.37
0.860687,1442.55
0.899547,1447.38
