Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.001665872,196.9815483
0.00194442,204.5961096
0.002868962,225.7845273
0.003965587,245.5310835
0.004867865,259.2492878
0.005726495,270.593821
0.006790925,282.9579083
0.007894831,294.2735885
0.008900371,303.4024294
0.009887064,311.5334684
0.011998184,325.7
0.013995772,337.7
0.019197382,364.2804376
0.023006005,380.5
0.028849446,402.0046323
0.038241534,432.0550174
0.0500177,465.0455606
0.057059164,483.0427724
0.069001998,511.3181513
0.07905353,533.2231994
0.088927524,553.5114555
0.098902977,572.6886873
0.117842895,606.2501179
0.137931437,638.7028528
0.158643117,670.0773885
0.178416291,700.0028433
0.197220756,730.8059603
0.214357902,773.9836293
0.224922361,892.8
0.235340888,999.3264478
0.268274737,1042.279024
0.295846618,1060.152312
0.326118904,1078.688371
0.342338021,1087.506136
0.360029297,1096.14
0.380357356,1105.531046
0.399925353,1114.12165
0.448298456,1134.842174
0.500040283,1156.094989
0.549395048,1176.262333
0.599734426,1197.327239
0.64932966,1219.068473
0.699352169,1242.598927
0.74962873,1269.762338
0.798779288,1301.439784
0.847691866,1344.863378
0.896305484,1413.54769
0.946154066,1564.014228
0.998120009,2313.935013
