Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.000000848,19.5368906
0.00000229,39.26330117
0.00000569,58.89848944
0.0000104,78.53675968
0.0000212,98.16156468
0.0000417,117.7725542
0.0000881,137.364894
0.00019284,156.8928206
0.000441225,176.3458212
0.000989339,194.9833077
0.001921761,210.941578
0.00291461,221.4565494
0.003944906,229.2971183
0.004813169,234.4486662
0.00594435,239.9628281
0.006835363,243.6246739
0.007914356,247.5072786
0.008883336,250.6453829
0.009932936,253.7236773
0.01909818,275.1052661
0.029132958,293.9211205
0.038429457,310.3121552
0.050828881,325.7113692
0.057356098,331.6109696
0.069821708,340.1961137
0.0802729,345.4545957
0.090591613,349.2613875
0.100871653,352.2163788
0.145607594,360.6474742
0.204338998,367.2167836
0.256823283,371.5722959
0.307448459,375.18
0.355311849,378.2737613
0.400438035,380.9933042
0.450466992,383.8371455
0.500562855,386.59486
0.550628559,389.3255242
0.600467466,392.1355654
0.650693889,395.113767
0.70078011,398.3998811
0.749541023,402.0117645
0.799036389,406.4862224
0.809765349,407.7992544
0.820897926,409.0453038
0.830182771,410.1992839
0.840517528,411.5328422
0.850135475,412.8666983
0.860012207,414.3654304
0.870324132,416.0635373
0.880063477,417.8667216
0.890036621,419.9242135
0.899697316,422.2159538
0.910224633,425.0406414
0.920571549,428.2501146
0.929731796,431.8828211
0.939225811,436.3450083
0.948782819,442.3544504
0.95900507,450.9633684
0.968527785,463.1038984
0.97741276,482.2617709
0.986178212,513.237696
0.992911451,555.9569992
