Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1.23E-07,2.514208097
2.48E-07,5.037251954
3.50E-07,7.558244677
5.48E-07,10.08585684
7.55E-07,12.59727996
9.99E-07,15.10458709
1.22E-06,17.63878786
1.47E-06,20.16339997
1.97E-06,22.69132411
2.84E-06,25.2214746
3.85E-06,27.73191927
5.17E-06,30.25412583
6.88E-06,32.77569526
8.83E-06,35.29920653
1.14E-05,37.83511452
1.44E-05,40.36452153
1.78E-05,42.88055967
2.15E-05,45.41154666
2.54E-05,47.9453635
2.91E-05,50.45887736
3.30E-05,52.99521562
3.67E-05,55.50982846
4.04E-05,58.04535971
4.40E-05,60.58747066
4.76E-05,63.12764682
5.12E-05,65.66821784
5.48E-05,68.20299503
5.86E-05,70.74937929
6.25E-05,73.27186156
6.65E-05,75.79976796
7.07E-05,78.3308866
7.53E-05,80.86536352
7.99E-05,83.38577928
8.49E-05,85.92587128
9.02E-05,88.45030224
9.59E-05,90.98016072
0.000101866,93.50766048
0.00010843,96.02943816
0.000115669,98.56759392
0.000123923,101.0975406
0.000132532,103.6438156
0.000142085,106.1716869
0.000152225,108.6991722
0.000163528,111.2194978
0.000175053,113.7443723
0.000188404,116.2740431
0.000203102,118.7988271
0.000219533,121.3245868
0.000237273,123.8480286
0.000256856,126.3777168
0.000278382,128.9050681
0.000302122,131.4281643
0.000328336,133.9662684
0.000357464,136.4882939
0.000389421,139.0076204
0.000425039,141.5317433
0.00046396,144.0385752
0.000507494,146.5478842
0.000555773,149.0602994
0.000609421,151.5697608
0.000668535,154.060653
0.000733715,156.5337288
0.000805316,158.9949881
0.0008836,161.4439358
0.000969555,163.8718429
0.001180284,168.6
0.001369924,172.5
0.001659897,177.7
0.001983868,182.6426257
0.002481232,188.8
0.0029778,193.9555603
0.003900276,202.0860302
0.004901601,209.4802401
0.005748579,214.9546489
0.006815202,220.9544905
0.007932263,226.4712673
0.008908562,230.7932965
0.009924807,234.9431672
0.012216106,242
0.015344472,250.3
0.020657011,260.2120996
0.029153998,267.6667152
0.043038331,274.4918795
0.05607993,278.4784614
0.060133027,279.4787193
0.070310191,281.615879
0.080444318,283.3976849
0.090170995,284.8714471
0.100546237,286.2448034
0.110563966,287.4462928
0.120602203,288.5181411
0.130585935,289.5010852
0.140095215,290.39
0.150374866,291.2636477
0.160507882,292.0511271
0.170667982,292.8048628
0.179965883,293.4867474
0.190645793,294.2087023
0.200301599,294.8255949
0.210335014,295.4385895
0.220487623,296.0307331
0.230573416,296.5861908
0.240846958,297.1541411
0.25056775,297.6650242
0.260794834,298.1822797
0.269580715,298.6360556
0.280301794,299.1344551
0.290696258,299.6123679
0.300168734,299.9998531
0.319236927,300.8437555
0.340946451,301.7427779
0.360937434,302.53696
0.38070078,303.2960293
0.401083839,304.0663297
0.421098485,304.7946982
0.440714586,305.5083048
0.460879323,306.2269201
0.479423448,306.9263143
0.500683264,307.6755514
0.519294854,308.373187
0.540988798,309.1130853
0.559146623,309.8063301
0.580857521,310.5774736
0.600769168,311.3005092
0.620648506,312.0202711
0.640945441,312.7833075
0.660586966,313.5369189
0.680476479,314.3573156
0.69949284,315.2304864
0.719410474,316.1909329
0.739506409,317.1909509
0.759642624,318.3008609
0.779642839,319.4802959
0.799644973,320.7616671
0.809048329,321.4671465
0.820769307,322.3134339
0.829732712,323.0572258
0.83925335,323.9152679
0.850505865,324.9141619
0.860630845,325.9756673
0.869346002,326.9457206
0.880763469,328.290526
0.889852706,329.500242
0.90087879,331.1254877
0.909388657,332.5817953
0.919315551,334.4979075
0.929206017,336.7771364
0.93917914,339.6217573
0.949129528,343.3265922
0.986264135,404.2262582
0.989723137,439.3506036
0.992201704,501.9726082
