Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
4.20E-05,20.349
9.97E-05,40.698
0.000148121,60.914
0.000188506,81.263
0.000224278,101.612
0.000259844,122.094
0.000299953,142.31
0.000349057,162.26
0.000417927,183.54
0.000521085,203.49
0.000684773,223.44
0.000949862,243.39
0.001422718,263.34
0.00193056,275.31
0.002936687,288.61
0.003871099,295.26
0.004945074,301.91
0.005730774,305.9
0.006698907,312.55
0.008054492,323.19
0.008892109,328.51
0.009781263,332.5
0.02074716,356.44
0.029110932,364.42
0.038163686,400.33
0.04836001,413.63
0.063774299,420.28
0.069776865,421.61
0.08004303,424.27
0.090083618,425.6
0.10043044,428.26
0.145027143,433.58
0.202710154,438.9
0.254860289,442.89
0.305344376,446.88
0.354387044,449.54
0.399269895,452.2
0.449413315,454.86
0.499421734,457.52
0.549130569,460.18
0.599553456,462.84
0.648965909,465.5
0.699055532,468.16
0.748964062,470.82
0.7992439,474.81
0.809235821,476.14
0.819317209,476.14
0.829266798,477.47
0.839403863,478.8
0.850174553,480.13
0.859575733,481.46
0.869079932,482.79
0.879065428,484.12
0.889536882,485.45
0.899627608,488.11
0.90986306,489.44
0.919854649,492.1
0.929147394,494.76
0.939055955,498.75
0.948884511,502.74
0.959088154,509.39
0.969051619,517.37
0.978076108,529.34
0.986984423,549.29
0.994455819,585.2
