Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.00002,2.026477494
0.0000579,2.541243526
0.0000907,3.547198566
0.0000997,5.866784332
0.000120002,15.07999999
0.000135878,25.76287669
0.000149981,40.33
0.000153726,45.67806745
0.000162203,64.12239133
0.000169951,75.52
0.00017989,84.02434859
0.000206222,88.10310565
0.000247599,90.41453575
0.000279922,98.40000001
0.00030673,110.3127874
0.000320061,118.2
0.000331941,130.1702139
0.000340176,149.9101801
0.000410145,162.7
0.000537827,169.2831879
0.000900104,175.9
0.001686888,181.7420809
0.00209589,183.1710764
0.002623178,184.5665064
0.003299735,185.9154892
0.004185916,187.207991
0.005255232,188.3560885
0.006657108,189.4913756
0.008491008,190.6152549
0.01080895,191.6753808
0.013672316,192.6618808
0.017379148,193.6303044
0.022120016,194.5457703
0.027972214,195.4006837
0.035502441,196.2615519
0.04518963,197.0870784
0.057104756,197.8552004
0.073503814,198.6615603
0.092897268,199.3819823
0.117365134,200.0680882
0.148033492,200.7177207
0.186991608,201.3422758
0.236269718,201.9196185
0.298618506,202.4531402
0.376375557,202.9157132
0.475676689,203.3086953
0.5396658,203.5210373
0.603274987,203.6931052
0.644041058,203.8083676
0.684269297,203.9188626
0.724374314,204.0281004
0.764422491,204.1528227
0.790647003,204.2464609
0.815998166,204.363534
0.841457924,204.4757084
0.866631605,204.6170522
0.915618717,205.0325277
0.942539338,205.5096857
0.967868769,206.3637334
